"well","datetime","condition","wavelength","value","timepoint","time"
"E...12",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",141,"t0",0
"F...12",2026-03-12 16:09:52,"Pp","GFP80",139,"t0",0
"G...12",2026-03-12 16:09:52,"Pp+Soil","GFP80",140,"t0",0
"H...12",2026-03-12 16:09:52,"M9","GFP80",135,"t0",0
"A...13",2026-03-12 16:09:52,"Bs","GFP80",130,"t0",0
"B...13",2026-03-12 16:09:52,"Bs+Soil","GFP80",131,"t0",0
"C...13",2026-03-12 16:09:52,"Soil","GFP80",130,"t0",0
"D...13",2026-03-12 16:09:52,"Bs+Pp","GFP80",132,"t0",0
"E...13",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",140,"t0",0
"F...13",2026-03-12 16:09:52,"Pp","GFP80",140,"t0",0
"G...13",2026-03-12 16:09:52,"Pp+Soil","GFP80",140,"t0",0
"H...13",2026-03-12 16:09:52,"M9","GFP80",131,"t0",0
"A...2",2026-03-12 16:09:52,"Bs","RFP100",18,"t0",0
"B...2",2026-03-12 16:09:52,"Bs+Soil","RFP100",19,"t0",0
"C...2",2026-03-12 16:09:52,"Soil","RFP100",20,"t0",0
"D...2",2026-03-12 16:09:52,"Bs+Pp","RFP100",21,"t0",0
"E...2",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",21,"t0",0
"F...2",2026-03-12 16:09:52,"Pp","RFP100",19,"t0",0
"G...2",2026-03-12 16:09:52,"Pp+Soil","RFP100",21,"t0",0
"H...2",2026-03-12 16:09:52,"M9","RFP100",18,"t0",0
"A...3",2026-03-12 16:09:52,"Bs","RFP100",20,"t0",0
"B...3",2026-03-12 16:09:52,"Bs+Soil","RFP100",21,"t0",0
"C...3",2026-03-12 16:09:52,"Soil","RFP100",19,"t0",0
"D...3",2026-03-12 16:09:52,"Bs+Pp","RFP100",20,"t0",0
"E...3",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",21,"t0",0
"F...3",2026-03-12 16:09:52,"Pp","RFP100",21,"t0",0
"G...3",2026-03-12 16:09:52,"Pp+Soil","RFP100",19,"t0",0
"H...3",2026-03-12 16:09:52,"M9","RFP100",20,"t0",0
"A...4",2026-03-12 16:09:52,"Bs","RFP100",20,"t0",0
"B...4",2026-03-12 16:09:52,"Bs+Soil","RFP100",20,"t0",0
"C...4",2026-03-12 16:09:52,"Soil","RFP100",20,"t0",0
"D...4",2026-03-12 16:09:52,"Bs+Pp","RFP100",18,"t0",0
"E...4",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",20,"t0",0
"F...4",2026-03-12 16:09:52,"Pp","RFP100",20,"t0",0
"G...4",2026-03-12 16:09:52,"Pp+Soil","RFP100",21,"t0",0
"H...4",2026-03-12 16:09:52,"M9","RFP100",18,"t0",0
"A...5",2026-03-12 16:09:52,"Bs","RFP100",19,"t0",0
"B...5",2026-03-12 16:09:52,"Bs+Soil","RFP100",21,"t0",0
"C...5",2026-03-12 16:09:52,"Soil","RFP100",19,"t0",0
"D...5",2026-03-12 16:09:52,"Bs+Pp","RFP100",20,"t0",0
"E...5",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",20,"t0",0
"F...5",2026-03-12 16:09:52,"Pp","RFP100",21,"t0",0
"G...5",2026-03-12 16:09:52,"Pp+Soil","RFP100",21,"t0",0
"H...5",2026-03-12 16:09:52,"M9","RFP100",20,"t0",0
"A...6",2026-03-12 16:09:52,"Bs","RFP100",20,"t0",0
"B...6",2026-03-12 16:09:52,"Bs+Soil","RFP100",22,"t0",0
"C...6",2026-03-12 16:09:52,"Soil","RFP100",19,"t0",0
"D...6",2026-03-12 16:09:52,"Bs+Pp","RFP100",20,"t0",0
"E...6",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",22,"t0",0
"F...6",2026-03-12 16:09:52,"Pp","RFP100",21,"t0",0
"G...6",2026-03-12 16:09:52,"Pp+Soil","RFP100",21,"t0",0
"H...6",2026-03-12 16:09:52,"M9","RFP100",20,"t0",0
"A...7",2026-03-12 16:09:52,"Bs","RFP100",18,"t0",0
"B...7",2026-03-12 16:09:52,"Bs+Soil","RFP100",20,"t0",0
"C...7",2026-03-12 16:09:52,"Soil","RFP100",19,"t0",0
"D...7",2026-03-12 16:09:52,"Bs+Pp","RFP100",19,"t0",0
"E...7",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",19,"t0",0
"F...7",2026-03-12 16:09:52,"Pp","RFP100",19,"t0",0
"G...7",2026-03-12 16:09:52,"Pp+Soil","RFP100",20,"t0",0
"H...7",2026-03-12 16:09:52,"M9","RFP100",20,"t0",0
"A...8",2026-03-12 16:09:52,"Bs","RFP100",21,"t0",0
"B...8",2026-03-12 16:09:52,"Bs+Soil","RFP100",21,"t0",0
"C...8",2026-03-12 16:09:52,"Soil","RFP100",19,"t0",0
"D...8",2026-03-12 16:09:52,"Bs+Pp","RFP100",19,"t0",0
"E...8",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",22,"t0",0
"F...8",2026-03-12 16:09:52,"Pp","RFP100",21,"t0",0
"G...8",2026-03-12 16:09:52,"Pp+Soil","RFP100",20,"t0",0
"H...8",2026-03-12 16:09:52,"M9","RFP100",20,"t0",0
"A...9",2026-03-12 16:09:52,"Bs","RFP100",20,"t0",0
"B...9",2026-03-12 16:09:52,"Bs+Soil","RFP100",20,"t0",0
"C...9",2026-03-12 16:09:52,"Soil","RFP100",20,"t0",0
"D...9",2026-03-12 16:09:52,"Bs+Pp","RFP100",20,"t0",0
"E...9",2026-03-12 16:09:52,"Bs+Pp+Soil","RFP100",20,"t0",0
"F...9",2026-03-12 16:09:52,"Pp","RFP100",21,"t0",0
"G...9",2026-03-12 16:09:52,"Pp+Soil","RFP100",20,"t0",0
"H...9",2026-03-12 16:09:52,"M9","RFP100",18,"t0",0
"A...10",2026-03-12 16:09:52,"Bs","RFP100",19,"t0",0
